,Name,Position,Number,Height,Academic Year,Hometown,Highschool,Weight,Year,Team
22,Will Jarvis,QB,14, 6' 1'' ,Fr.,"Walpole, Mass.",Walpole,205 lbs,2021,football
23,Isaiah Reed,DB,14, 6' 0'' ,Fr.,"Tampa, Fla.",Seffner Christian Academy,165 lbs,2021,football
24,Mac Franklin,OLB,15, 6' 2'' ,So.,"Scottsdale, Ariz.",Pinnacle,190 lbs,2021,football
25,Michael Walsh,QB,15, 6' 2'' ,Jr.,"East Greenwich, R.I.",Moses Brown,195 lbs,2021,football
26,Graham Walker,WR,16, 6' 3'' ,So.,"Hinesburg, Vt.",Avon Old Farms (Conn.),200 lbs,2021,football
27,Noble Cooper III,WR,17, 5' 11'' ,Fr.,"Blythewood, S.C.",Blythewood,190 lbs,2021,football
28,Isaiah Gamble,ILB,17, 6' 2'' ,So.,"Palm Bay, Fla.",Heritage,230 lbs,2021,football
29,Cameron Impemba,WR,18, 6' 2'' ,So.,"Burlington, Mass.",Buckingham Browne & Nichols,180 lbs,2021,football
30,Hayes Sutton,WR,19, 6' 0'' ,Jr.,"Norcross, Ga.",Norcross,200 lbs,2021,football
31,Allan Houston III,WR,20, 6' 0'' ,Jr.,"Greenwich, Conn.",Rye Country Day (N.Y.),185 lbs,2021,football
32,Charlie Dallape,CB,21, 6' 3'' ,Sr.,"San Francisco, Calif.",St. Ignatius College Prep,205 lbs,2021,football
33,Jacob Kopeld,K,22, 6' 1'' ,Jr.,"Morristown, N.J.",Delbarton School,195 lbs,2021,football
34,Mashod Harrison,RB,23, 6' 0'' ,So.,"Livingston, N.J.",The Taft School (Conn.),200 lbs,2021,football
35,Tim Malo,DB,23, 6' 0'' ,Fr.,"Bellingham, Wash.",Sehome,195 lbs,2021,football
36,Uriel Richardson,DB,25, 5' 11'' ,Fr.,"Jacksonville, Fla.",Mandarin,185 lbs,2021,football
37,Zachary Targoff,WR,25, 6' 0'' ,Jr.,"New York, N.Y.",Trinity School,180 lbs,2021,football
38,Jordan DeLucia,RB,26, 5' 11'' ,Fr.,"Bellmore, N.Y.",Kellenberg Memorial,210 lbs,2021,football
39,Cooper DeVeau,CB,26, 5' 11'' ,Jr.,"Foxboro, Mass.",Xaverian Brothers,180 lbs,2021,football
40,Dylan Duchene,OLB,27, 6' 2'' ,So.,"Stuart, Fla.",Jensen Beach,200 lbs,2021,football
41,Sami Miller,DB,28, 5' 10'' ,Fr.,"Orlando, Fla.",Lake Highland Prep,170 lbs,2021,football
42,William Such,RB,28, 6' 2'' ,Sr.,"Cranston, R.I.",Cranston West,225 lbs,2021,football
43,Austin Alley,K,29, 5' 10'' ,Fr.,"Fort Myers, Fla.",Canterbury,165 lbs,2021,football
44,Aubrey Parker,CB,30, 5' 10'' ,So.,"Belleville, Ill.",Lutheran North (Mo.),185 lbs,2021,football
45,Stockton Owen,RB,31, 6' 1'' ,Fr.,"Cookeville, Tenn.",Cookeville,205 lbs,2021,football
46,Jack Whitten,DB,31, 6' 1'' ,Fr.,"Scottsdale, Ariz.",Chaparral,190 lbs,2021,football
47,Shane Prevot,CB,32, 6' 0'' ,So.,"New Milford, N.J.",Bergen Catholic,190 lbs,2021,football
48,Triston McDonald,OLB,33, 5' 9'' ,Fr.,"Arlington, Texas",Mansfield Timberview,180 lbs,2021,football
49,Xavier Silva,LB,33, 5' 10'' ,Fr.,"St. Louis, Mo.",John Burroughs,220 lbs,2021,football
50,Ian Franzoni,RB,34, 5' 11'' ,So.,"Robbinsville, N.J.",The Hun School,190 lbs,2021,football
51,Sidney Schwartz,RB,35, 6' 1'' ,Sr.,"Calabasas, Calif.",Brentwood,200 lbs,2021,football
52,Declan Boyle,P,36, 6' 2'' ,So.,"Kennett Square, Pa.",Unionville,245 lbs,2021,football
53,Christopher Maron,K,37, 5' 10'' ,Fr.,"Weston, Fla.",American Heritage Plantation,175 lbs,2021,football
54,Kenyon Graham,RB,38, 5' 11'' ,Fr.,"San Rafael, Calif.",The Branson School,190 lbs,2021,football
55,Allen Smith,RB,39, 5' 10'' ,Sr.,"Westerville, Ohio",Westerville Central,200 lbs,2021,football
56,Kaleb Ross,LB,40, 6' 0'' ,Fr.,"Lakeland, Fla.",Lake Gibson,225 lbs,2021,football
57,Jason Medeiros,ILB,41, 6' 0'' ,Sr.,"Rehoboth, Mass.",Noble and Greenough,220 lbs,2021,football
58,Ryan Putman,OLB,42, 6' 3'' ,Sr.,"Greenville, S.C.",Christ Church Episcopal,230 lbs,2021,football
59,Nicholas Messina,CB,43, 6' 0'' ,Sr.,"East Setauket, N.Y.",Ward Melville,175 lbs,2021,football
60,Sean Kelly,DE,44, 6' 2'' ,Jr.,"Clarendon Hills, Ill.",Hinsdale Central,245 lbs,2021,football
61,Addison Matevia,ILB,45, 6' 1'' ,So.,"Palm Beach Gardens, Fla.",The Benjamin School,200 lbs,2021,football
62,Anthony Mastroni,DT,46, 6' 3'' ,Sr.,"Monroe, Conn.",Fairfield College Prep,260 lbs,2021,football
63,Joseph Gulla,DE,48, 6' 2'' ,Sr.,"Orlando, Fla.",Dr. Phillips,225 lbs,2021,football
64,Michael Davidson,LS,49, 6' 2'' ,So.,"Stone Oak, Texas",Ronald Reagan,215 lbs,2021,football
65,Donovan Allen,OL,50, 6' 5'' ,Jr.,"Douglasville, Ga.",Douglasville County,285 lbs,2021,football
66,CJ Hankins,LB,51, 5' 11'' ,Fr.,"Cleveland, Ohio",St. Edwards,220 lbs,2021,football
67,Caleb Moorhead,LB,52, 6' 3'' ,Fr.,"Glen Ellyn, Ill.",Glenbard West,200 lbs,2021,football
68,Kevin Coss,DT,53, 6' 2'' ,So.,"Charlotte, N.C.",Charlotte Catholic,240 lbs,2021,football
69,Ivan Macksyine,DL,54, 6' 1'' ,Fr.,"Cape Coral, Fla.",Ida Baker,260 lbs,2021,football
70,Jack Kosar,ILB,55, 6' 3'' ,Jr.,"Chagrin Falls, Ohio",Gilmour Academy,235 lbs,2021,football
71,Osagie Noruwa,OL,55, 6' 3'' ,Fr.,"Staten Island, N.Y.",Curtis,300 lbs,2021,football
72,Griffin Sturtz,OL,56, 6' 5'' ,Jr.,"Naperville, Ill.",Naperville North,240 lbs,2021,football
73,Timothy Forster,OL,57, 6' 2'' ,Sr.,"Oak Hill, Va.",Oakton,280 lbs,2021,football
74,Tucker Barnes,OL,60, 6' 3'' ,Sr.,"Hahira, Ga.",Lowndes,295 lbs,2021,football
75,Jordan Reed,OL,63, 6' 3'' ,So.,"Portland, Ore.",Central Catholic,295 lbs,2021,football
76,Hunter  Folsom,OL,64, 6' 3'' ,Sr.,"Ocala, Fla.",Trinity Catholic,275 lbs,2021,football
77,Judson Utgard,OL,65, 6' 3'' ,Jr.,"Columbus, Ohio",Upper Arlington,280 lbs,2021,football
78,AJ Heidtke,OL,69, 6' 4'' ,Fr.,"Andover, Mass.",Andover,290 lbs,2021,football
79,Chad Broome-Webster,OL,70, 6' 4'' ,Sr.,"Orlando, Fla.",Trinity Prep,275 lbs,2021,football
80,Nicholas Turbyfill,OL,71, 6' 6'' ,Jr.,"Ashburn, Va.",Briar Woods,315 lbs,2021,football
81,Gavin Miller,OL,73, 6' 5'' ,So.,"Bay Shore, N.Y.",St. Anthony's,290 lbs,2021,football
82,Lucas Ferraro,OL,74, 6' 2'' ,Jr.,"Newton, Mass.",Xaverian Brothers,260 lbs,2021,football
83,Kevin Rohde,OL,75, 6' 4'' ,Fr.,"Purchase, N.Y.",Iona Prep,275 lbs,2021,football
84,Hunter Keneley,OL,76, 6' 6'' ,Jr.,"San Clemente, Calif.",Mission Viejo,305 lbs,2021,football
85,Auzzy Joseph,OL,77, 6' 4'' ,So.,"Corona, N.Y.",Woodberry Forest School (Va.),250 lbs,2021,football
86,Jack Connolly,OL,78, 6' 4'' ,So.,"Canton, Mass.",Canton,290 lbs,2021,football
87,Winston Jordan,DL,78, 6' 3'' ,Fr.,"Blackwood, N.J.",Highland Regional,265 lbs,2021,football
88,Michael Bumpus,DL,79, 6' 4'' ,Fr.,"Ponte Vedra Beach, Fla.",The Bolles School,255 lbs,2021,football
89,Gabriel Sanchez,TE,80, 6' 5'' ,Sr.,"Modesto, Calif.",Joseph A. Gregori,245 lbs,2021,football
90,Quincy Eutsay,DE,81, 6' 2'' ,Fr.,"Roxbury, Mass.",Catholic Memorial,215 lbs,2021,football
91,Daniel Monaghan,TE,81, 6' 4'' ,Sr.,"Medway, Mass.",Noble and Greenough,245 lbs,2021,football
92,Ben Moseley,WR,82, 6' 2'' ,Fr.,"Houston, Texas",Stratford,175 lbs,2021,football
93,Kyle Philbin,DL,82, 6' 4'' ,Fr.,"Fitchburg, Mass.",Leominster,260 lbs,2021,football
94,Jackson Caputo,WR,83, 6' 4'' ,Sr.,"Riverside, Conn.",Deerfield Academy (Mass.),225 lbs,2021,football
95,Wes Rockett,WR,84, 6' 0'' ,Jr.,"Marblehead, Mass.",St. John's Prep,175 lbs,2021,football
96,John Parsons,TE,85, 6' 5'' ,So.,"Hanover, N.H.",The Hun School (N.J.),235 lbs,2021,football
97,Garrett Valentine,WR,86, 5' 11'' ,So.,"Winter Garden, Fla.",West Orange,160 lbs,2021,football
98,Jack Foster,TE,87, 6' 6'' ,So.,"Mankato, Minn.",Mankato West,225 lbs,2021,football
99,Carlos Ponce de Leon,DE,87, 6' 2'' ,Fr.,"Puebla, Mexico",Windermere Preparatory School (Fla.),225 lbs,2021,football
100,Mark Mahoney,WR,88, 6' 5'' ,So.,"Cohasset, Mass.",Choate Rosemary Hall (Conn.),210 lbs,2021,football
101,Nathan Brown,DE,89, 5' 11'' ,Sr.,"Fayetteville, Ga.",Sandy Creek,250 lbs,2021,football
102,Brooks Jones,DT,90, 6' 2'' ,Jr.,"Wayland, Mass.",Wayland,290 lbs,2021,football
103,Maxwell Sweet,DT,91, 6' 3'' ,Sr.,"Cypress, Texas",Cypress Woods,240 lbs,2021,football
104,Justin Anagonye,DT,92, 6' 3'' ,So.,"Southfield, Mich.",Berkley,240 lbs,2021,football
105,Colton Vardell,DE,93, 6' 5'' ,Fr.,"Pleasanton, Calif.",Bishop O'Dowd,220 lbs,2021,football
106,Jarred Daul,DE,95, 6' 4'' ,Sr.,"Portland, Ore.",Jesuit,255 lbs,2021,football
107,Nic Jones,TE,95, 6' 5'' ,Fr.,"Raleigh, N.C.",Leesville Road,250 lbs,2021,football
108,Matthew Littlejohn,DE,96, 6' 4'' ,So.,"New Braunfels, Texas",New Braunfels,220 lbs,2021,football
109,Camden Gagnon,DE,97, 6' 4'' ,Sr.,"Goffstown, N.H.",The Governor's Academy (Mass.),245 lbs,2021,football
110,Tommy  Maloney,DE,98, 6' 3'' ,Jr.,"Newton, Mass.",Buckingham Browne & Nichols School,240 lbs,2021,football
111,Callum Flanders,DE,99, 6' 3'' ,Sr.,"Braintree, Mass.",Xaverian Brothers,260 lbs,2021,football
0,Treyvon Hobbs,DB,0, 6' 0'' ,Jr.,"Jacksonville, Fla.",William M. Raines,180 lbs,2022,football
1,Jordan McIntyre,WR,1, 6' 1'' ,So.,"Chatsworth, Calif.",Chaminade College Preparatory,195 lbs,2022,football
2,Josh Ofili,DB,1, 6' 2'' ,Sr.,"Katy, Texas",Cinco Ranch,205 lbs,2022,football
3,Samuel Baddoo,WR,2, 5' 10'' ,So.,"Providence, R.I.",Classical,185 lbs,2022,football
4,Joseph Shell,DB,2, 6' 1'' ,Sr.,"Frederick, Md.",Tuscarora,205 lbs,2022,football
5,Jalen Fisher,DB,3, 6' 0'' ,Sr.,"Los Angeles, Calif.",Chaminade College Prep,195 lbs,2022,football
6,Jake Willcox,QB,3, 6' 2'' ,Jr.,"Everett, Mass.",Milton Academy,195 lbs,2022,football
7,Nate Lussier,QB,5, 6' 3'' ,Jr.,"North Providence, R.I.",La Salle Academy,220 lbs,2022,football
8,Harrison Ochs,CB,5, 5' 11'' ,Sr.,"Indianapolis, Ind.",North Central,175 lbs,2022,football
9,Kris Diallo,DB,6, 6' 2'' ,Sr.,"Chicago, Ill.",Elmwood Park,210 lbs,2022,football
10,Cortland Dicks,QB,7, 6' 2'' ,So.,"Bridgeport, Conn.",Deerfield Academy (Mass.),205 lbs,2022,football
11,Griffin McGovern,DB,7, 6' 1'' ,Sr.,"Emerson, N.J.",Bergen Catholic,205 lbs,2022,football
12,Malcolm Brunson,ILB,8, 6' 1'' ,Sr.,"Plainfield, N.J.",The Hun School,225 lbs,2022,football
13,Ethan Royer,ILB,9, 6' 2'' ,Sr.,"Hilliard, Ohio",Hilliard Davidson,240 lbs,2022,football
14,Will Jarvis,QB,10, 6' 1'' ,So.,"Walpole, Mass.",Walpole,205 lbs,2022,football
15,Mac Franklin,OLB,11, 6' 2'' ,Jr.,"Scottsdale, Ariz.",Pinnacle,225 lbs,2022,football
16,Junior Gafa,OLB,12, 5' 10'' ,Sr.,"San Pedro, Calif.",St. John Bosco,220 lbs,2022,football
17,Aidan Gilman,QB,12, 6' 3'' ,Sr.,"Westfield, N.J.",Seton Hall Prep,220 lbs,2022,football
18,Chris Boyle,TE,13, 6' 4'' ,Sr.,"Columbus, Ohio",Columbus Academy,245 lbs,2022,football
19,Ty Holtz,QB,14, 5' 11'' ,Fr.,"DeWitt, Mich.",DeWitt,190 lbs,2022,football
20,Isaiah Reed,DB,14, 6' 0'' ,So.,"Tampa, Fla.",Seffner Christian Academy,180 lbs,2022,football
21,Michael Walsh,QB,15, 6' 2'' ,Sr.,"East Greenwich, R.I.",Moses Brown,215 lbs,2022,football
22,Graham Walker,WR,16, 6' 3'' ,Jr.,"Hinesburg, Vt.",Avon Old Farms (Conn.),215 lbs,2022,football
23,Noble Cooper III,WR,17, 5' 11'' ,So.,"Blythewood, S.C.",Blythewood,190 lbs,2022,football
24,Isaiah Gamble,ILB,17, 6' 2'' ,Jr.,"Palm Bay, Fla.",Heritage,230 lbs,2022,football
25,Cameron Impemba,WR,18, 6' 2'' ,Jr.,"Burlington, Mass.",Buckingham Browne & Nichols,190 lbs,2022,football
26,Hayes Sutton,WR,19, 6' 1'' ,Sr.,"Norcross, Ga.",Norcross,200 lbs,2022,football
27,Allan Houston III,WR,20, 6' 0'' ,Sr.,"Greenwich, Conn.",Rye Country Day (N.Y.),190 lbs,2022,football
28,Aubrey Parker,DB,21, 5' 10'' ,Jr.,"Belleville, Ill.",Lutheran North (Mo.),185 lbs,2022,football
29,Jacob Kopeld,WR,22, 6' 1'' ,Sr.,"Morristown, N.J.",Delbarton School,195 lbs,2022,football
30,Mashod Harrison,RB,23, 6' 1'' ,Jr.,"Livingston, N.J.",The Taft School (Conn.),210 lbs,2022,football
31,Tim Malo,DB,23, 6' 0'' ,So.,"Bellingham, Wash.",Sehome,200 lbs,2022,football
32,Uriel Richardson,DB,25, 5' 11'' ,So.,"Jacksonville, Fla.",Mandarin,190 lbs,2022,football
33,Zachary Targoff,WR,25, 6' 0'' ,Sr.,"New York, N.Y.",Trinity School,190 lbs,2022,football
34,Jordan DeLucia,RB,26, 5' 11'' ,So.,"Bellmore, N.Y.",Kellenberg Memorial,215 lbs,2022,football
35,Cooper DeVeau,CB,26, 6' 0'' ,Sr.,"Foxboro, Mass.",Xaverian Brothers,190 lbs,2022,football
36,Dylan Duchene,RB,27, 6' 2'' ,Jr.,"Stuart, Fla.",Jensen Beach,225 lbs,2022,football
37,Sami Miller,DB,28, 5' 10'' ,So.,"Orlando, Fla.",Lake Highland Prep,170 lbs,2022,football
38,Austin Alley,K,29, 5' 10'' ,So.,"Fort Myers, Fla.",Canterbury,165 lbs,2022,football
39,Stockton Owen,RB,30, 6' 1'' ,So.,"Cookeville, Tenn.",Cookeville,210 lbs,2022,football
40,Jack Whitten,DB,31, 6' 1'' ,So.,"Scottsdale, Ariz.",Chaparral,195 lbs,2022,football
41,Qwentin Brown,RB,32, 6' 0'' ,Fr.,"Santa Cruz, Calif.",Santa Cruz,200 lbs,2022,football
42,Shane Prevot,CB,32, 6' 0'' ,Jr.,"New Milford, N.J.",Bergen Catholic,190 lbs,2022,football
43,Jade Arroyo,TE,33, 6' 3'' ,Fr.,"Highlands Ranch, Colo.",Highlands Ranch,225 lbs,2022,football
44,Triston McDonald,OLB,33, 5' 9'' ,So.,"Arlington, Texas",Mansfield Timberview,205 lbs,2022,football
45,Ian Franzoni,RB,34, 5' 11'' ,Jr.,"Robbinsville, N.J.",The Hun School,210 lbs,2022,football
46,Dillon Golden,TE,35, 6' 4'' ,Fr.,"San Jose, Calif.",Saint Francis,235 lbs,2022,football
47,Xavier Silva,LB,35, 5' 10'' ,So.,"St. Louis, Mo.",John Burroughs,220 lbs,2022,football
48,Declan Boyle,P,36, 6' 2'' ,Jr.,"Kennett Square, Pa.",Unionville,245 lbs,2022,football
49,Christopher Maron,K,37, 5' 10'' ,So.,"Weston, Fla.",American Heritage Plantation,175 lbs,2022,football
50,Evan Faiella,TE,38, 6' 4'' ,Fr.,"Middlefield, Conn.",Coginchaug Regional,240 lbs,2022,football
51,Nevaeh Gattis,DB,38, 6' 1'' ,Fr.,"Graham, N.C.",Southern Alamance,190 lbs,2022,football
52,Elias Archie,DB,39, 5' 10'' ,Fr.,"Cerritos, Calif.",St. John Bosco,165 lbs,2022,football
53,Allen Smith,RB,39, 5' 11'' ,Sr.,"Westerville, Ohio",Westerville Central,205 lbs,2022,football
54,Kaleb Ross,LB,40, 6' 0'' ,So.,"Lakeland, Fla.",Lake Gibson,225 lbs,2022,football
55,Tyler Baskett,DB,41, 6' 0'' ,Fr.,"Chesapeake Beach, Md.",Northern,180 lbs,2022,football
56,Everett Skillern,DB,42, 5' 10'' ,Fr.,"Houston, Texas",Second Baptist School,185 lbs,2022,football
57,Nick Hudson,DB,43, 5' 10'' ,Fr.,"Houston, Texas",Shadow Creek,175 lbs,2022,football
58,Sean Kelly,DL,44, 6' 2'' ,Sr.,"Clarendon Hills, Ill.",Hinsdale Central,245 lbs,2022,football
59,Addison Matevia,ILB,45, 6' 1'' ,Jr.,"Palm Beach Gardens, Fla.",The Benjamin School,200 lbs,2022,football
60,Curt McGhee,DB,46, 6' 2'' ,Jr.,"Wheeling, W.Va.",Wheeling Central Catholic,200 lbs,2022,football
61,PJ McManus,WR,47, 6' 0'' ,So.,"Sharon, Mass.",Sharon,165 lbs,2022,football
62,Lydell Dyer,WR,48, 6' 2'' ,Fr.,"Bonn, Germany",Helmholtz Gymnasium,170 lbs,2022,football
63,Michael Davidson,LS,49, 6' 2'' ,Jr.,"Stone Oak, Texas",Ronald Reagan,215 lbs,2022,football
64,Donovan Allen,OL,50, 6' 5'' ,Sr.,"Douglasville, Ga.",Douglasville County,285 lbs,2022,football
65,Ryan Haley,LB,51, 5' 11'' ,Fr.,"Mankato, Minn.",Mankato West,210 lbs,2022,football
66,Caleb Moorhead,LB,52, 6' 4'' ,So.,"Glen Ellyn, Ill.",Glenbard West,230 lbs,2022,football
67,Kevin Coss,DL,53, 6' 2'' ,Jr.,"Charlotte, N.C.",Charlotte Catholic,240 lbs,2022,football
68,Tommy  Maloney,DL,54, 6' 4'' ,Sr.,"Newton, Mass.",Buckingham Browne & Nichols School,260 lbs,2022,football
69,Jack Kosar,DL,55, 6' 3'' ,Sr.,"Chagrin Falls, Ohio",Gilmour Academy,250 lbs,2022,football
70,Osagie Noruwa,OL,55, 6' 3'' ,So.,"Staten Island, N.Y.",Curtis,300 lbs,2022,football
71,Griffin Sturtz,OL,56, 6' 5'' ,Sr.,"Naperville, Ill.",Naperville North,290 lbs,2022,football
72,John Perdue,LB,57, 6' 1'' ,Fr.,"Houston, Texas",St. John's School,220 lbs,2022,football
73,Sam Smith,LB,58, 6' 0'' ,Fr.,"Avon, Conn.",Kingswood Oxford School,225 lbs,2022,football
74,Terrence Lane II,DL,59, 6' 3'' ,Jr.,"Grosse Pointe, Mich.",Grosse Pointe South,240 lbs,2022,football
75,John Starman,DL,60, 6' 3'' ,Fr.,"Miami, Fla.",Christopher Columbus,265 lbs,2022,football
76,Jack Doty,OL,61, 6' 7'' ,So.,"Harrison, N.Y.",Iona Prep,315 lbs,2022,football
77,Mike Renoit,DL,61, 6' 3'' ,Fr.,"Lauderhill, Fla.",Saint Thomas Aquinas,225 lbs,2022,football
78,Pat O'Neill,DL,62, 6' 4'' ,Fr.,"Barnstable, Mass.",Barnstable,250 lbs,2022,football
79,Jordan Reed,OL,63, 6' 3'' ,Jr.,"Portland, Ore.",Central Catholic,295 lbs,2022,football
80,Hunter  Folsom,OL,64, 6' 3'' ,Sr.,"Ocala, Fla.",Trinity Catholic,295 lbs,2022,football
81,Judson Utgard,OL,65, 6' 3'' ,Sr.,"Columbus, Ohio",Upper Arlington,280 lbs,2022,football
82,Nic Jones,TE,66, 6' 5'' ,So.,"Raleigh, N.C.",Leesville Road,250 lbs,2022,football
83,Nick Manley,DL,66, 6' 3'' ,Fr.,"Medina, Ohio",Medina,270 lbs,2022,football
84,Nolan Clark,DL,67, 6' 2'' ,Fr.,"Glen Rock, N.J.",Glen Rock,275 lbs,2022,football
85,Owen Clarke,DL,68, 6' 3'' ,Fr.,"Westport, Conn.",Staples,230 lbs,2022,football
86,AJ Heidtke,OL,69, 6' 4'' ,So.,"Andover, Mass.",Andover,290 lbs,2022,football
87,Liam Halligan,OL,70, 6' 5'' ,Fr.,"Pittsburgh, Pa.",Seton La-Salle Catholic,290 lbs,2022,football
88,Nicholas Turbyfill,OL,71, 6' 6'' ,Sr.,"Ashburn, Va.",Briar Woods,315 lbs,2022,football
89,Hayden Bozich,OL,72, 6' 6'' ,Fr.,"Steubenville, Ohio",The Linsly School,300 lbs,2022,football
90,Gavin Miller,OL,73, 6' 5'' ,Jr.,"Bay Shore, N.Y.",St. Anthony's,290 lbs,2022,football
91,Lucas Ferraro,OL,74, 6' 2'' ,Sr.,"Newton, Mass.",Xaverian Brothers,285 lbs,2022,football
92,Kevin Rohde,OL,75, 6' 4'' ,So.,"Purchase, N.Y.",Iona Prep,275 lbs,2022,football
93,Marco Monteiro,OL,76, 6' 5'' ,Fr.,"Milford, Mass.",Milford,295 lbs,2022,football
94,Auzzy Joseph,OL,77, 6' 4'' ,Jr.,"Corona, N.Y.",Woodberry Forest School (Va.),250 lbs,2022,football
95,Jack Connolly,OL,78, 6' 4'' ,Jr.,"Canton, Mass.",Canton,290 lbs,2022,football
96,Winston Jordan,DL,78, 6' 3'' ,So.,"Blackwood, N.J.",Highland Regional,265 lbs,2022,football
97,Michael Bumpus,DL,79, 6' 4'' ,So.,"Ponte Vedra Beach, Fla.",The Bolles School,270 lbs,2022,football
98,Solomon Miller,WR,80, 5' 11'' ,Fr.,"Orlando, Fla.",Lake Highland Prep,180 lbs,2022,football
99,Jackson Delaney,WR,81, 6' 2'' ,Fr.,"Topsfield, Mass.",St. John's Prep,200 lbs,2022,football
100,Quincy Eutsay,DL,81, 6' 2'' ,So.,"Roxbury, Mass.",Catholic Memorial,215 lbs,2022,football
101,Ben Moseley,WR,82, 6' 2'' ,So.,"Houston, Texas",Stratford,190 lbs,2022,football
102,Kyle Philbin,DL,82, 6' 4'' ,So.,"Fitchburg, Mass.",Leominster,285 lbs,2022,football
103,Chason Barber,WR,83, 6' 4'' ,Fr.,"Old Greenwich, Conn.",Greenwich,205 lbs,2022,football
104,Wes Rockett,WR,84, 6' 0'' ,Sr.,"Marblehead, Mass.",St. John's Prep,185 lbs,2022,football
105,Ty Pezza,WR,85, 6' 4'' ,Fr.,"North Kingstown, R.I.",North Kingstown,210 lbs,2022,football
106,Garrett Valentine,WR,86, 5' 11'' ,Jr.,"Winter Garden, Fla.",West Orange,160 lbs,2022,football
107,Mark Mahoney,WR,88, 6' 5'' ,Jr.,"Cohasset, Mass.",Choate Rosemary Hall (Conn.),240 lbs,2022,football
108,Brooks Jones,DL,90, 6' 2'' ,Sr.,"Wayland, Mass.",Wayland,290 lbs,2022,football
109,Maxwell Sweet,DL,91, 6' 3'' ,Sr.,"Cypress, Texas",Cypress Woods,280 lbs,2022,football
110,Justin Anagonye,DL,92, 6' 3'' ,Jr.,"Southfield, Mich.",Berkley,290 lbs,2022,football
111,Matthew Littlejohn,TE,96, 6' 4'' ,Jr.,"New Braunfels, Texas",New Braunfels,220 lbs,2022,football
112,Camden Gagnon,DL,97, 6' 4'' ,Sr.,"Goffstown, N.H.",The Governor's Academy (Mass.),265 lbs,2022,football
0,Treyvon Hobbs,DB,0, 6' 0'' ,Sr.,"Jacksonville, Fla.",William M. Raines,180 lbs,2023,football
1,Jordan McIntyre,WR,1, 6' 1'' ,Jr.,"Chatsworth, Calif.",Chaminade College Preparatory,195 lbs,2023,football
2,Samuel Baddoo,WR,2, 5' 10'' ,Jr.,"Providence, R.I.",Classical,185 lbs,2023,football
3,Jake Willcox,QB,3, 6' 2'' ,Sr.,"Everett, Mass.",Milton Academy,195 lbs,2023,football
4,Jordan DeLucia,RB,4, 5' 11'' ,Jr.,"Bellmore, N.Y.",Kellenberg Memorial,215 lbs,2023,football
5,Nate Lussier,QB,5, 6' 3'' ,Sr.,"North Providence, R.I.",La Salle Academy,220 lbs,2023,football
6,Stockton Owen,RB,6, 6' 1'' ,Jr.,"Cookeville, Tenn.",Cookeville,210 lbs,2023,football
7,Cortland Dicks,QB,7, 6' 2'' ,Jr.,"Bridgeport, Conn.",Deerfield Academy (Mass.),205 lbs,2023,football
8,Aubrey Parker,DB,7, 5' 10'' ,Sr.,"Belleville, Ill.",Lutheran North (Mo.),185 lbs,2023,football
9,Terrence Lane II,DL,8, 6' 3'' ,Sr.,"Grosse Pointe, Mich.",Grosse Pointe South,240 lbs,2023,football
10,Solomon Miller,WR,8, 5' 11'' ,So.,"Orlando, Fla.",Lake Highland Prep,180 lbs,2023,football
11,Ethan Royer,ILB,9, 6' 2'' ,Sr.,"Hilliard, Ohio",Hilliard Davidson,240 lbs,2023,football
12,Will Jarvis,QB,10, 6' 1'' ,Jr.,"Walpole, Mass.",Walpole,205 lbs,2023,football
13,Mac Franklin,OLB,11, 6' 2'' ,Sr.,"Scottsdale, Ariz.",Pinnacle,225 lbs,2023,football
14,Brady Dever,QB,12, 6' 2'' ,Fr.,"Houston, Texas",Fort Bend Christian Academy,185 lbs,2023,football
15,Elias Archie,DB,13, 5' 10'' ,So.,"Cerritos, Calif.",St. John Bosco,165 lbs,2023,football
16,Ty Holtz,QB,14, 5' 11'' ,So.,"DeWitt, Mich.",DeWitt,190 lbs,2023,football
17,Isaiah Reed,DB,14, 6' 0'' ,Jr.,"Tampa, Fla.",Seffner Christian Academy,180 lbs,2023,football
18,James Murphy,QB,15, 6' 4'' ,Fr.,"Reading, Mass.",Reading Memorial,190 lbs,2023,football
19,Graham Walker,WR,16, 6' 3'' ,Sr.,"Hinesburg, Vt.",Avon Old Farms (Conn.),215 lbs,2023,football
20,Noble Cooper III,WR,17, 5' 11'' ,Jr.,"Blythewood, S.C.",Blythewood,190 lbs,2023,football
21,Isaiah Gamble,ILB,17, 6' 2'' ,Sr.,"Palm Bay, Fla.",Heritage,230 lbs,2023,football
22,Cameron Impemba,WR,18, 6' 2'' ,Sr.,"Burlington, Mass.",Buckingham Browne & Nichols,190 lbs,2023,football
23,Ben Moseley,WR,18, 6' 2'' ,Jr.,"Houston, Texas",Stratford,190 lbs,2023,football
24,Ty Pezza,WR,19, 6' 4'' ,So.,"North Kingstown, R.I.",North Kingstown,210 lbs,2023,football
25,Jackson Bennett,RB,20, 6' 0'' ,Fr.,"Orlando, Fla.",Windermere Prep,205 lbs,2023,football
26,Tyler Emans,RB,21, 5' 11'' ,Fr.,"Montgomery, N.Y.",Harmony (Fla.),200 lbs,2023,football
27,Michael McGhee,RB,22, 5' 11'' ,Fr.,"Greenwich, Conn.",Rye Country Day (N.Y.),190 lbs,2023,football
